wheel r v,wheel f v,accel v,brake lever,brake pid,braking,% slip a,% slip f
0,4,0,90,90,0,0,100
0,4,0,90,90,0,0,100
0,4,0,90,90,0,0,100
0,4,0,90,90,0,0,100
0,4,0,90,90,0,0,100
0,4,0,90,90,0,0,100
0,4,0,90,90,0,0,100
0,4,0,90,90,0,0,100
0,4,0,90,90,0,0,100
0,4,0,90,90,0,0,100
0,4,0,90,90,0,0,100
0,4,0,90,90,0,0,100
0,4,0,90,90,0,0,100
0,4,0,90,90,0,0,100
0,4,0,90,90,0,0,100
0,4,0,90,90,0,0,100
0,4,0,90,90,0,0,100
0,4,0,90,90,0,0,100
0,4,0,90,90,0,0,100
0,4,0,90,90,0,0,100
0,4,0,90,90,0,0,100
0,4,0,90,90,0,0,100
0,4,0,90,90,0,0,100
0,4,0,90,90,0,0,100
